stage_no,date,departure,arrival,profile_type,finish_type,rider_rank,rider,rider_slug,model_score,projected_scorito_points,expected_finish_low,expected_finish_high,confidence,uncertainty,role_assumption,specialty_score,ranking_score,historical_similarity_score,recent_profile_evidence_score,recent_course_evidence_score,role_factor,evidence
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,116,WENZEL Mats,mats-wenzel,0.03614,0.0,109,123,0.423,high,inferred helper; tactics unconfirmed,0.0002,0.0063,0.0,0.2462,0.108,0.94,"2026 #2 O Gran Camiño - The Historical Route (2.1) (hilly; field 96/122; ProfileScore 84, 1681vm, 148.6km; adjusted 0.096); 2026 #8 Tour of Slovenia (2.Pro) (hilly; field 202/125; ProfileScore 108, 2066vm, 133.5km; adjusted 0.075)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,117,RODRIGUEZ Juan Felipe,juan-felipe-rodriguez,0.03559,0.0,111,123,0.599,medium-high,inferred helper; tactics unconfirmed,0.0,0.0005,0.0,0.2971,0.1029,0.94,"2026 #4 Alpes Isère Tour (2.2) (mountain; field 20/102; ProfileScore 258, 4150vm, 152.2km; adjusted 0.107); 2026 #17 Volta ao Algarve em Bicicleta (2.Pro) EF Education - EasyPost (mountain; field 652/172; ProfileScore 188, 2252vm, 148.4km; adjusted 0.094)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,118,BERNARD Julien,julien-bernard,0.03539,0.0,111,125,0.493,high,inferred helper; tactics unconfirmed,0.0065,0.0078,0.0,0.2608,0.0714,0.94,"2026 #8 Circuito de Getxo - Memorial Hermanos Otxoa (1.1) (mountain; field 232/141; ProfileScore 357, 4034vm, 125.0km; adjusted 0.154); 2026 #10 Tour de la Provence (2.1) (mountain; field 160/112; ProfileScore 224, 3188vm, 174.9km; adjusted 0.112)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,119,MARTÍ Pau,pau-marti-soriano,0.03443,0.0,112,126,0.457,high,inferred helper; tactics unconfirmed,0.0,0.005,0.0,0.2451,0.1115,0.94,"2026 #3 Tour du Rwanda (2.1) NSN Development Team (hilly; field 238/174; ProfileScore 140, 2236vm, 177.8km; adjusted 0.119); 2026 #1 Tour du Rwanda (2.1) NSN Development Team (hilly; field 37/91; ProfileScore 100, 1827vm, 134.6km; adjusted 0.082)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,120,BRUSTENGA Marc,marc-brustenga-masague,0.03413,0.0,112,128,0.391,high,inferred helper; tactics unconfirmed,0.0001,0.0033,0.0,0.2638,0.0948,0.94,"2026 #1 Presidential Cycling Tour of Türkiye (2.Pro) (hilly; field 119/132; ProfileScore 54, 1892vm, 174.2km; adjusted 0.118); 2026 #6 S5 Stage 5 - Caleruega › Lagunas de Neila (hilly; field 446/163; ProfileScore 62, 1941vm, 178.0km; adjusted 0.109)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,121,VALTER Attila,attila-valter,0.0341,0.0,114,128,0.486,high,inferred helper; tactics unconfirmed,0.0058,0.0055,0.0,0.2038,0.1473,0.94,"2026 #8 DSSK (Donostia San Sebastian Klasikoa) (1.UWT) (hilly; field-class proxy 0.88; one-day race proxy; exact profile unavailable; adjusted 0.123); 2026 #11 Tour de Hongrie (2.Pro) (hilly; field 153/121; ProfileScore 216, 1969vm, 124.3km; adjusted 0.055)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,122,GOGL Michael,michael-gogl,0.03336,0.0,115,129,0.453,high,inferred helper; tactics unconfirmed,0.0014,0.0013,0.0,0.2093,0.1536,0.94,"2026 #18 Tour Auvergne - Rhône-Alpes (2.UWT) (mountain; field 773/150; ProfileScore 224, 2946vm, 182.3km; adjusted 0.097); 2026 #1 La Vuelta Ciclista a España (2.UWT) (unknown; field-class proxy 0.88; ProfileScore 1, 124vm, 48.0km; adjusted 0.091)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,123,LANGELLOTTI Victor,victor-langellotti,0.03304,0.0,117,129,0.526,medium-high,inferred helper; tactics unconfirmed,0.0007,0.0012,0.0,0.2499,0.1599,0.94,"2025 #1 Tour de Pologne (2.UWT) (mountain; field 415/145; ProfileScore 161, 2808vm, 147.5km; adjusted 0.155); 2025 #3 Tour de Pologne (2.UWT) (hilly; field 415/166; ProfileScore 111, 2199vm, 149.4km; adjusted 0.070)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,124,NYS Thibau,thibau-nys,0.03302,0.0,117,131,0.461,high,inferred helper; tactics unconfirmed,0.0001,0.0004,0.0,0.278,0.1274,0.94,"2026 #4 Tour de Suisse (2.UWT) (hilly; field 185/152; ProfileScore 152, 2964vm, 173.8km; adjusted 0.116); 2024 #1 Tour de Romandie (2.UWT) (mountain; field 688/169; ProfileScore 174, 2716vm, 171.0km; adjusted 0.088)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,125,LABROSSE Jordan,jordan-labrosse,0.03267,0.0,118,132,0.421,high,inferred helper; tactics unconfirmed,0.0012,0.0028,0.0,0.225,0.1422,0.94,"2026 #4 Vuelta a Burgos (2.Pro) (hilly; field 446/166; ProfileScore 50, 1517vm, 165.0km; adjusted 0.135); 2026 #11 S6 Stage 6 - Goizper-Antzuola › Bergara (hilly; field 683/183; ProfileScore 182, 3567vm, 203.0km; adjusted 0.089)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,126,VAN TRICHT Floris,floris-van-tricht,0.03218,0.0,118,134,0.386,high,inferred helper; tactics unconfirmed,0.0,0.0031,0.0,0.2147,0.1379,0.94,"2026 #2 S2 Stage 2 - Glyngøre › Skive (hilly; field 153/164; ProfileScore 83, 1963vm, 179.0km; adjusted 0.109); 2026 #3 S4 Stage 4 - Broc › Charmey (hilly; field 119/129; ProfileScore 25, 1256vm, 178.4km; adjusted 0.087)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,127,MADOUAS Valentin,valentin-madouas,0.03215,0.0,120,134,0.452,high,inferred helper; tactics unconfirmed,0.0001,0.0074,0.0,0.203,0.106,0.94,"2026 #14 Tour de Pologne (2.UWT) (hilly; field-class proxy 0.88; one-day race proxy; exact profile unavailable; adjusted 0.073); 2025 #3 Tour de Suisse (2.UWT) (hilly; field 316/164; ProfileScore 18, 1480vm, 203.8km; adjusted 0.062)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,128,PORTER Rudy,rudy-porter,0.03146,0.0,121,135,0.487,high,inferred helper; tactics unconfirmed,0.0,0.0003,0.0,0.2043,0.163,0.94,"2026 #12 Tour of the Alps (2.Pro) (mountain; field 248/125; ProfileScore 183, 3671vm, 174.5km; adjusted 0.110); 2026 #14 Tour of the Alps (2.Pro) (mountain; field 248/112; ProfileScore 231, 4111vm, 167.8km; adjusted 0.094)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,129,THORNLEY Callum,callum-thornley,0.03134,0.0,122,136,0.506,high,inferred helper; tactics unconfirmed,0.0,0.0164,0.0,0.1417,0.051,0.94,"2025 #4 Sibiu Cycling Tour (2.1) (mountain; field 42/126; ProfileScore 118, 2020vm, 164.8km; adjusted 0.056); 2025 #5 Coppa Agostoni - Giro delle Brianze (1.1) (hilly; field-class proxy 0.60; one-day race proxy; exact profile unavailable; adjusted 0.049)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,130,ALBANESE Vincenzo,vincenzo-albanese,0.0308,0.0,122,138,0.388,high,inferred helper; tactics unconfirmed,0.0,0.0043,0.0,0.2354,0.1003,0.94,"2026 #3 Boucles de la Mayenne - Crédit Mutuel (2.Pro) (hilly; field 241/141; ProfileScore 161, 3240vm, 215.1km; adjusted 0.130); 2025 #1 Tour de Suisse (2.UWT) (hilly; field 642/163; ProfileScore 99, 2492vm, 177.0km; adjusted 0.097)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,131,BARTA Will,william-barta,0.02974,0.0,125,137,0.557,medium-high,inferred helper; tactics unconfirmed,0.0076,0.0056,0.0,0.2252,0.0673,0.94,"2025 #6 Tour de France (2.UWT) (hilly; field 1711/186; ProfileScore 143, 3309vm, 201.5km; adjusted 0.090); 2026 #16 Tour of Oman (2.Pro) (mountain; field 338/123; ProfileScore 215, 1369vm, 155.9km; adjusted 0.082)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,132,PAASSCHENS Mathijs,mathijs-paasschens,0.02891,0.0,126,138,0.607,medium-high,inferred helper; tactics unconfirmed,0.0003,0.0007,0.1573,0.0361,0.0269,0.94,"2026 #25 Volta Comunitat Valenciana (2.Pro) (hilly; field-class proxy 0.72; ProfileScore 0, 934vm, 200.0km; adjusted 0.024); 2024 #11 Skoda Tour de Luxembourg (2.Pro) (hilly; field 129/107; ProfileScore 59, 2134vm, 168.9km; adjusted 0.011)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,133,VADER Milan,milan-vader,0.02854,0.0,125,141,0.385,high,inferred helper; tactics unconfirmed,0.0001,0.0005,0.0,0.2113,0.1139,0.94,"2026 #8 Vuelta a Burgos (2.Pro) (hilly; field 446/166; ProfileScore 50, 1517vm, 165.0km; adjusted 0.095); 2026 #7 Settimana Internazionale Coppi e Bartali (2.1) (hilly; field 126/149; ProfileScore 128, 2414vm, 161.1km; adjusted 0.071)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,134,WARBASSE Larry,lawrence-warbasse,0.02842,0.0,127,141,0.451,high,inferred helper; tactics unconfirmed,0.0049,0.0047,0.0,0.1907,0.1189,0.94,"2026 #11 Giro d'Italia (2.UWT) (hilly; field 955/171; ProfileScore 85, 1326vm, 189.0km; adjusted 0.098); 2026 #3 Vuelta a Burgos (2.Pro) (hilly; field 16/114; ProfileScore 156, 3258vm, 198.6km; adjusted 0.072)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,135,RENARD-HAQUIN Henri-François,henri-francois-renard-haquin,0.02842,0.0,128,142,0.417,high,inferred helper; tactics unconfirmed,0.0,0.0009,0.0,0.1906,0.1309,0.94,"2026 #2 Tour Auvergne - Rhône-Alpes (2.UWT) (hilly; field 773/158; ProfileScore 153, 3687vm, 234.3km; adjusted 0.224); 2024 #1 Tour Alsace (2.2) (mountain; field 44/148; ProfileScore 103, 2850vm, 176.0km; adjusted 0.035)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,136,CHAMBERLAIN Oscar,oscar-chamberlain,0.0283,0.0,128,144,0.38,high,inferred helper; tactics unconfirmed,0.0,0.0008,0.0,0.1667,0.1443,0.94,"2026 #3 Santos Tour Down Under (2.UWT) (hilly; field-class proxy 0.88; ProfileScore 38, 1894vm, 176.0km; adjusted 0.211); 2024 #4 Istarsko Proljeće - Istrian Spring Trophy (2.2) (hilly; field-class proxy 0.72; ProfileScore 147, 2676vm, 139.2km; adjusted 0.036)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,137,COVI Alessandro,alessandro-covi,0.02815,0.0,130,144,0.489,high,inferred helper; tactics unconfirmed,0.0,0.0017,0.0,0.2244,0.099,0.94,"2025 #2 Tour de Hongrie (2.Pro) (mountain; field 123/129; ProfileScore 129, 1977vm, 162.8km; adjusted 0.090); 2025 #1 Vuelta Asturias Julio Alvarez Mendo (2.1) (mountain; field 65/105; ProfileScore 96, 2980vm, 165.5km; adjusted 0.082)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,138,MARTINEZ Juan Guillermo,guillermo-juan-martinez,0.0281,0.0,132,144,0.556,medium-high,inferred helper; tactics unconfirmed,0.0005,0.0009,0.0,0.2132,0.1094,0.94,"2026 #15 Volta ao Algarve em Bicicleta (2.Pro) (mountain; field 652/172; ProfileScore 188, 2252vm, 148.4km; adjusted 0.112); 2025 #3 Presidential Cycling Tour of Türkiye (2.Pro) (mountain; field 134/171; ProfileScore 293, 2961vm, 115.4km; adjusted 0.094)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,139,MONIQUET Sylvain,sylvain-moniquet,0.02752,0.0,133,145,0.52,high,inferred helper; tactics unconfirmed,0.0023,0.0041,0.0,0.2004,0.0918,0.94,"2025 #5 Volta Ciclista a Catalunya (2.UWT) (hilly; field 645/153; ProfileScore 173, 1563vm, 88.2km; adjusted 0.067); 2025 #6 Tour de l'Ain (2.1) (mountain; field 90/98; ProfileScore 199, 3350vm, 153.1km; adjusted 0.058)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,140,SENTJENS Sente,sente-sentjens,0.02654,0.0,132,148,0.386,high,inferred helper; tactics unconfirmed,0.0,0.0007,0.0,0.2192,0.091,0.94,"2026 #2 Presidential Cycling Tour of Türkiye (2.Pro) (hilly; field 140/169; ProfileScore 93, 1962vm, 152.8km; adjusted 0.116); 2025 #2 PostNord Tour of Denmark (2.Pro) Alpecin - Deceuninck (hilly; field-class proxy 0.72; ProfileScore 22, 1558vm, 177.1km; adjusted 0.084)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,141,ALLENO Clément,clement-alleno,0.02541,0.0,134,148,0.447,high,inferred helper; tactics unconfirmed,0.0,0.0045,0.0,0.1592,0.0911,0.94,"2026 #8 Tour of Hainan (2.Pro) (hilly; field 138/137; ProfileScore 43, 938vm, 132.7km; adjusted 0.064); 2025 #5 Arctic Race of Norway (2.Pro) (hilly; field 191/139; ProfileScore 126, 2715vm, 167.0km; adjusted 0.045)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,142,SCHULTZ Nick,nick-schultz,0.02475,0.0,135,149,0.41,high,inferred helper; tactics unconfirmed,0.0095,0.0067,0.0,0.1347,0.0829,0.94,"2026 #11 Santos Tour Down Under (2.UWT) (hilly; field 412/150; ProfileScore 169, 2787vm, 148.1km; adjusted 0.079); 2026 #25 Giro d'Italia (2.UWT) (mountain; field 955/169; ProfileScore 334, 2928vm, 113.0km; adjusted 0.061)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,143,VAN BOVEN Luca,luca-van-boven,0.02465,0.0,135,151,0.383,high,inferred helper; tactics unconfirmed,0.0002,0.0033,0.0,0.1865,0.0736,0.94,"2026 #7 4 Jours de Dunkerque / GP des Hauts de France (2.Pro) (hilly; field 275/140; ProfileScore 82, 1677vm, 162.6km; adjusted 0.088); 2025 #2 S6 Stage 6 - Eibar › Eibar (hilly; field 696/179; ProfileScore 57, 2063vm, 186.6km; adjusted 0.082)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,144,MOSCA Jacopo,jacopo-mosca,0.0236,0.0,137,151,0.414,high,inferred helper; tactics unconfirmed,0.0015,0.0021,0.0,0.1661,0.0814,0.94,"2026 #13 S7 Stage 7 - Barcelona › Barcelona (hilly; field 821/165; ProfileScore 97, 2844vm, 151.0km; adjusted 0.077); 2026 #16 S7 Stage 7 - Barcelona › Barcelona (hilly; field 821/171; ProfileScore 76, 1898vm, 167.4km; adjusted 0.057)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,145,KONRAD Patrick,patrick-konrad,0.02336,0.0,138,152,0.448,high,inferred helper; tactics unconfirmed,0.0007,0.001,0.0,0.165,0.1138,0.94,"2025 #9 UAE Tour (2.UWT) (mountain; field 557/138; ProfileScore 145, 1310vm, 176.0km; adjusted 0.080); 2025 #6 Santos Tour Down Under (2.UWT) (hilly; field 358/149; ProfileScore 146, 2648vm, 147.5km; adjusted 0.052)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,146,THOMPSON Reuben,reuben-thompson,0.0233,0.0,139,153,0.413,high,inferred helper; tactics unconfirmed,0.0003,0.0005,0.0,0.1555,0.107,0.94,"2026 #10 Itzulia Basque Country (2.UWT) (hilly; field 702/156; ProfileScore 154, 2709vm, 152.8km; adjusted 0.102); 2026 #6 Tour du Rwanda (2.1) Lotto - Groupe Wanty (hilly; field 37/91; ProfileScore 100, 1827vm, 134.6km; adjusted 0.053)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,147,KLUCKERS Arthur,arthur-kluckers,0.02226,0.0,139,155,0.379,high,inferred helper; tactics unconfirmed,0.0,0.0009,0.0,0.156,0.0996,0.94,"2025 #1 Tour de Pologne (2.UWT) (hilly; field-class proxy 0.88; ProfileScore 44, 1831vm, 138.6km; adjusted 0.113); 2026 #1 Tour de Pologne (2.UWT) (hilly; field 6/59; ProfileScore 43, 1718vm, 143.1km; adjusted 0.072)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,148,URIARTE Diego,diego-uriarte-belzunegi,0.02198,0.0,141,155,0.447,high,inferred helper; tactics unconfirmed,0.0,0.0003,0.0,0.1543,0.1027,0.94,"2026 #6 Volta Comunitat Valenciana (2.Pro) (hilly; field 414/123; ProfileScore 83, 1154vm, 94.7km; adjusted 0.106); 2025 #1 Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) (hilly; field 298/117; ProfileScore 22, 1494vm, 194.3km; adjusted 0.067)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,149,APARICIO Mario,mario-aparicio-munoz,0.02186,0.0,142,156,0.514,high,inferred helper; tactics unconfirmed,0.0003,0.0015,0.0,0.1487,0.0932,0.94,"2026 #5 O Gran Camiño - The Historical Route (2.1) (hilly; field 9/114; ProfileScore 171, 2870vm, 166.4km; adjusted 0.051); 2026 #17 O Gran Camiño - The Historical Route (2.1) (mountain; field 96/110; ProfileScore 155, 2137vm, 154.7km; adjusted 0.048)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,150,NOVAK Domen,domen-novak,0.02175,0.0,143,157,0.478,high,inferred helper; tactics unconfirmed,0.0028,0.0028,0.0,0.1307,0.0999,0.94,"2026 #13 Itzulia Basque Country (2.UWT) (mountain; field 702/141; ProfileScore 199, 3081vm, 135.2km; adjusted 0.145); 2026 #6 Circuito de Getxo - Memorial Hermanos Otxoa (1.1) (hilly; field 30/53; ProfileScore 151, 3520vm, 165.0km; adjusted 0.052)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,151,RAFFERTY Darren,darren-rafferty,0.02056,0.0,144,158,0.447,high,inferred helper; tactics unconfirmed,0.0003,0.0008,0.0,0.1514,0.0804,0.94,"2025 #4 Tour of Austria (2.1) (hilly; field-class proxy 0.60; one-day race proxy; exact profile unavailable; adjusted 0.053); 2024 #1 Vuelta a Burgos (2.Pro) (hilly; field-class proxy 0.72; ProfileScore 22, 1653vm, 161.0km; adjusted 0.044)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,152,KRETSCHY Moritz,moritz-kretschy,0.02037,0.0,144,160,0.378,high,inferred helper; tactics unconfirmed,0.0,0.0019,0.0,0.1469,0.0808,0.94,"2026 #2 Tour du Rwanda (2.1) (hilly; field 37/90; ProfileScore 151, 2551vm, 127.2km; adjusted 0.078); 2026 #5 Tour du Rwanda (2.1) (unknown; field-class proxy 0.60; result profile unavailable; adjusted 0.043)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,153,HELLEMOSE Asbjørn,asbjorn-hellemose,0.01905,0.0,147,159,0.553,medium-high,inferred helper; tactics unconfirmed,0.0,0.0003,0.0,0.1872,0.0266,0.94,"2026 #12 Tour of Austria (2.1) (mountain; field 108/142; ProfileScore 314, 3033vm, 188.8km; adjusted 0.086); 2025 #6 Tour of Austria (2.1) (mountain; field 104/131; ProfileScore 426, 3540vm, 117.3km; adjusted 0.066)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,154,MACKELLAR Alastair,alastair-mackellar,0.01903,0.0,147,161,0.442,high,inferred helper; tactics unconfirmed,0.0,0.0003,0.0,0.1141,0.1013,0.94,"2026 #9 Santos Tour Down Under (2.UWT) (hilly; field-class proxy 0.88; ProfileScore 38, 1894vm, 176.0km; adjusted 0.126); 2024 #2 S5 Stage 5 - Valtournenche › Breuil-Cervinia (mountain; field 11/141; ProfileScore 154, 1120vm, 40.8km; adjusted 0.026)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,155,SCOTSON Callum,callum-scotson,0.01894,0.0,149,161,0.583,medium-high,inferred helper; tactics unconfirmed,0.001,0.0014,0.0,0.1507,0.0583,0.94,"2026 #23 Giro d'Italia (2.UWT) (mountain; field 955/169; ProfileScore 334, 2928vm, 113.0km; adjusted 0.072); 2025 #4 Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) (hilly; field 298/117; ProfileScore 22, 1494vm, 194.3km; adjusted 0.052)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,156,FAURA José Luis,jose-luis-faura-asensio,0.01864,0.0,150,162,0.584,medium-high,inferred helper; tactics unconfirmed,0.0004,0.001,0.0,0.168,0.0324,0.94,"2026 #14 Presidential Cycling Tour of Türkiye (2.Pro) (mountain; field 140/169; ProfileScore 332, 3172vm, 132.7km; adjusted 0.083); 2026 #17 Presidential Cycling Tour of Türkiye (2.Pro) (mountain; field 140/163; ProfileScore 374, 2372vm, 127.9km; adjusted 0.066)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,157,ERMAKOV Roman,roman-ermakov,0.01857,0.0,149,165,0.375,high,inferred helper; tactics unconfirmed,0.0003,0.0007,0.0,0.1217,0.0888,0.94,"2026 #1 Tour de Pologne (2.UWT) (hilly; field 30/53; ProfileScore 151, 3520vm, 165.0km; adjusted 0.096); 2026 #2 Tour de Pologne (2.UWT) (hilly; field 25/20; ProfileScore 37, 410vm, 28.8km; adjusted 0.067)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,158,DE JONG Timo,timo-de-jong,0.01856,0.0,150,166,0.377,high,inferred helper; tactics unconfirmed,0.0,0.0004,0.0,0.1388,0.0915,0.94,"2025 #1 NIBC Tour of Holland (2.1) (hilly; field 246/120; ProfileScore 40, 891vm, 159.0km; adjusted 0.058); 2026 #9 AlUla Tour (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.037)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,159,KIRSCH Alex,alex-kirsch,0.01799,0.0,151,167,0.378,high,inferred helper; tactics unconfirmed,0.002,0.0019,0.0,0.1444,0.0545,0.94,"2026 #19 Tour de France (2.UWT) (hilly; field 1567/189; ProfileScore 16, 167vm, 19.6km; adjusted 0.054); 2025 #10 Ethias-Tour de Wallonie (2.Pro) (hilly; field-class proxy 0.72; ProfileScore 44, 1831vm, 138.6km; adjusted 0.042)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,160,AZPARREN Xabier Mikel,xabier-mikel-azparren-irurzun,0.01774,0.0,153,167,0.409,high,inferred helper; tactics unconfirmed,0.0009,0.0018,0.0,0.1251,0.0608,0.94,"2026 #12 Tour de France (2.UWT) (hilly; field 1567/189; ProfileScore 16, 167vm, 19.6km; adjusted 0.099); 2026 #10 Tour de France (2.UWT) (hilly; field 137/176; ProfileScore 138, 3461vm, 211.9km; adjusted 0.066)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,161,DALBY Simon,simon-dalby,0.01772,0.0,155,167,0.616,medium-high,inferred helper; tactics unconfirmed,0.0,0.0004,0.0,0.1454,0.0604,0.94,"2026 #21 Tour de Suisse (2.UWT) (mountain; field 584/133; ProfileScore 424, 4451vm, 150.7km; adjusted 0.074); 2025 #1 Course de la Paix Grand Prix Jeseníky (2.Ncup) Denmark (mountain; field 10/122; ProfileScore 172, 2464vm, 131.0km; adjusted 0.059)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,162,SÜTTERLIN Jasha,jasha-sutterlin,0.01765,0.0,154,170,0.372,high,inferred helper; tactics unconfirmed,0.0061,0.0054,0.0,0.0964,0.0538,0.94,"2026 #3 National Championships Germany ME - Road Race (NC) (hilly; field 15/65; ProfileScore 23, 367vm, 41.0km; adjusted 0.051); 2025 #9 Tour de Pologne (2.UWT) (hilly; field 415/163; ProfileScore 204, 3465vm, 159.3km; adjusted 0.044)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,163,WANDAHL Frederik,frederik-wandahl,0.01653,0.0,156,170,0.408,high,inferred helper; tactics unconfirmed,0.0,0.0002,0.0,0.1158,0.0871,0.94,"2025 #5 S2 Stage 2 - Veszprém › Siófok (hilly; field 525/138; ProfileScore 102, 3236vm, 198.7km; adjusted 0.060); 2025 #4 Trofeo Serra Tramuntana (1.1) (hilly; field 291/185; ProfileScore 142, 3119vm, 149.6km; adjusted 0.055)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,164,ROTA Lorenzo,lorenzo-rota,0.0153,0.0,156,172,0.373,high,inferred helper; tactics unconfirmed,0.0002,0.0011,0.0,0.1024,0.0662,0.94,"2026 #8 Etoile de Bessèges - Tour du Gard (2.1) (unknown; field-class proxy 0.60; result profile unavailable; adjusted 0.034); 2024 #2 Ethias-Tour de Wallonie (2.Pro) (hilly; field 265/152; ProfileScore 129, 3031vm, 228.0km; adjusted 0.030)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,165,HOULE Hugo,hugo-houle,0.01515,0.0,158,172,0.41,high,inferred helper; tactics unconfirmed,0.0002,0.0005,0.0,0.1333,0.0468,0.94,"2026 #11 Tour of Austria (2.1) (hilly; field 108/141; ProfileScore 125, 2578vm, 189.5km; adjusted 0.048); 2026 #5 Tour of Austria (2.1) (hilly; field 9/109; ProfileScore 10, 234vm, 185.0km; adjusted 0.044)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,166,DE PESTEL Sander,sander-de-pestel,0.01351,0.0,158,174,0.373,high,inferred helper; tactics unconfirmed,0.0004,0.0014,0.0,0.1007,0.0407,0.94,"2026 #5 DSSK (Donostia San Sebastian Klasikoa) (1.UWT) (hilly; field 52/38; ProfileScore 29, 422vm, 20.7km; adjusted 0.062); 2024 #5 Vuelta a Burgos (2.Pro) (hilly; field-class proxy 0.72; one-day race proxy; exact profile unavailable; adjusted 0.028)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,167,FERNÁNDEZ Sinuhé,sinuhe-fernandez-rodriguez,0.01191,0.0,161,173,0.541,medium-high,inferred helper; tactics unconfirmed,0.0001,0.0002,0.0,0.0904,0.046,0.94,"2026 #14 Vuelta Asturias Julio Alvarez Mendo (2.1) (mountain; field 51/106; ProfileScore 223, 2331vm, 140.8km; adjusted 0.055); 2026 #15 Vuelta Asturias Julio Alvarez Mendo (2.1) (mountain; field 51/95; ProfileScore 162, 3183vm, 165.5km; adjusted 0.051)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,168,THALMANN Roland,roland-thalmann,0.01162,0.0,161,175,0.472,high,inferred helper; tactics unconfirmed,0.0,0.0002,0.0,0.077,0.0604,0.94,"2026 #12 DSSK (Donostia San Sebastian Klasikoa) (1.UWT) (hilly; field 80/138; ProfileScore 107, 2804vm, 153.5km; adjusted 0.047); 2024 #13 Tour de Suisse (2.UWT) (mountain; field 744/175; ProfileScore 236, 3234vm, 171.0km; adjusted 0.033)"
3,24 August 2026,Gruissan - Aude,Font Romeu,mountain,summit,169,WEISS Fabian,fabian-weiss,0.01115,0.0,162,176,0.405,high,inferred helper; tactics unconfirmed,0.0,0.0004,0.0,0.0838,0.0422,0.94,"2026 #22 Tour de Suisse (2.UWT) (hilly; field 584/143; ProfileScore 86, 2320vm, 157.4km; adjusted 0.033); 2025 #12 Vuelta a Burgos (2.Pro) (hilly; field-class proxy 0.72; one-day race proxy; exact profile unavailable; adjusted 0.032)"
